ema_len,rr_target,n,exp,pf,dd,tpm
20,1.5,4866,-0.5878343838555772,0.39888203429586766,2870.099924426666,57.95032863849766
20,2.0,4666,-0.5758162422479808,0.4578300575021806,2692.9509562181065,55.568482003129894
20,3.0,4344,-0.5892600338823752,0.5022498850556424,2575.269075771414,51.733708920187794
50,1.5,4866,-0.5878343838555772,0.39888203429586766,2870.099924426666,57.95032863849766
50,2.0,4666,-0.5758162422479808,0.4578300575021806,2692.9509562181065,55.568482003129894
50,3.0,4344,-0.5892600338823752,0.5022498850556424,2575.269075771414,51.733708920187794
100,1.5,4866,-0.5878343838555772,0.39888203429586766,2870.099924426666,57.95032863849766
100,2.0,4666,-0.5758162422479808,0.4578300575021806,2692.9509562181065,55.568482003129894
100,3.0,4344,-0.5892600338823752,0.5022498850556424,2575.269075771414,51.733708920187794
