mss_window,fvg_min,expiry_bars,n,exp,pf,dd,tpm
8,0.3,8,1,-1.2057142857142953,0.0,0.0,30.439999999999998
8,0.3,15,1,-1.2057142857142953,0.0,0.0,30.439999999999998
8,0.3,24,1,-1.2057142857142953,0.0,0.0,30.439999999999998
8,0.5,8,1,-1.2057142857142953,0.0,0.0,30.439999999999998
8,0.5,15,1,-1.2057142857142953,0.0,0.0,30.439999999999998
8,0.5,24,1,-1.2057142857142953,0.0,0.0,30.439999999999998
8,0.8,8,1,-1.2057142857142953,0.0,0.0,30.439999999999998
8,0.8,15,1,-1.2057142857142953,0.0,0.0,30.439999999999998
8,0.8,24,1,-1.2057142857142953,0.0,0.0,30.439999999999998
14,0.3,8,2,-0.16268620268571504,0.7301413699526075,0.0,0.13899543378995435
14,0.3,15,2,-0.16268620268571504,0.7301413699526075,0.0,0.13899543378995435
14,0.3,24,2,-0.16268620268571504,0.7301413699526075,0.0,0.13899543378995435
14,0.5,8,1,-1.2057142857142953,0.0,0.0,30.439999999999998
14,0.5,15,1,-1.2057142857142953,0.0,0.0,30.439999999999998
14,0.5,24,1,-1.2057142857142953,0.0,0.0,30.439999999999998
14,0.8,8,1,-1.2057142857142953,0.0,0.0,30.439999999999998
14,0.8,15,1,-1.2057142857142953,0.0,0.0,30.439999999999998
14,0.8,24,1,-1.2057142857142953,0.0,0.0,30.439999999999998
20,0.3,8,2,-0.16268620268571504,0.7301413699526075,0.0,0.13899543378995435
20,0.3,15,2,-0.16268620268571504,0.7301413699526075,0.0,0.13899543378995435
20,0.3,24,2,-0.16268620268571504,0.7301413699526075,0.0,0.13899543378995435
20,0.5,8,1,-1.2057142857142953,0.0,0.0,30.439999999999998
20,0.5,15,1,-1.2057142857142953,0.0,0.0,30.439999999999998
20,0.5,24,1,-1.2057142857142953,0.0,0.0,30.439999999999998
20,0.8,8,1,-1.2057142857142953,0.0,0.0,30.439999999999998
20,0.8,15,1,-1.2057142857142953,0.0,0.0,30.439999999999998
20,0.8,24,1,-1.2057142857142953,0.0,0.0,30.439999999999998
