mss_window,fvg_min,expiry_bars,n,exp,pf,dd,tpm
8,0.3,8,47,-0.12931131564076545,0.8521785755931106,19.328323408007044,0.5597339593114241
8,0.3,15,48,-0.15313248141340388,0.8265910069320728,19.827736950026093,0.5716431924882629
8,0.3,24,48,-0.15313248141340388,0.8265910069320728,19.827736950026093,0.5716431924882629
8,0.5,8,32,0.06220342934085954,1.0790597361301362,8.99387478711826,0.38109546165884195
8,0.5,15,32,0.06220342934085954,1.0790597361301362,8.99387478711826,0.38109546165884195
8,0.5,24,32,0.06220342934085954,1.0790597361301362,8.99387478711826,0.38109546165884195
8,0.8,8,11,-0.36006663477311457,0.5450883414148326,5.66472938370154,0.1310015649452269
8,0.8,15,11,-0.36006663477311457,0.5450883414148326,5.66472938370154,0.1310015649452269
8,0.8,24,11,-0.36006663477311457,0.5450883414148326,5.66472938370154,0.1310015649452269
14,0.3,8,66,0.0044869251436768145,1.0050348556269746,23.801213644069627,0.7860093896713616
14,0.3,15,67,-0.014575973332011117,0.9837479059477402,25.073940916797035,0.7979186228482004
14,0.3,24,67,-0.014575973332011117,0.9837479059477402,25.073940916797035,0.7979186228482004
14,0.5,8,46,0.20614524784939792,1.2297072990933107,16.216438176483006,0.5478247261345853
14,0.5,15,46,0.20614524784939792,1.2297072990933107,16.216438176483006,0.5478247261345853
14,0.5,24,46,0.20614524784939792,1.2297072990933107,16.216438176483006,0.5478247261345853
14,0.8,8,15,-1.1377234597250507,0.08406930897695326,17.988616123518035,0.17863849765258216
14,0.8,15,15,-1.1377234597250507,0.08406930897695326,17.988616123518035,0.17863849765258216
14,0.8,24,15,-1.1377234597250507,0.08406930897695326,17.988616123518035,0.17863849765258216
20,0.3,8,80,0.2972123644301242,1.3877518949424419,14.924567889990572,0.9527386541471049
20,0.3,15,81,0.27783039360101885,1.3595341349028063,14.924567889990572,0.9646478873239437
20,0.3,24,81,0.27783039360101885,1.3595341349028063,14.924567889990572,0.9646478873239437
20,0.5,8,52,0.4889042248285863,1.6202570240459067,13.560090286303048,0.6192801251956181
20,0.5,15,52,0.4889042248285863,1.6202570240459067,13.560090286303048,0.6192801251956181
20,0.5,24,52,0.4889042248285863,1.6202570240459067,13.560090286303048,0.6192801251956181
20,0.8,8,22,-0.037626620951206606,0.9548608896149966,13.833719264765922,0.2620031298904538
20,0.8,15,22,-0.037626620951206606,0.9548608896149966,13.833719264765922,0.2620031298904538
20,0.8,24,22,-0.037626620951206606,0.9548608896149966,13.833719264765922,0.2620031298904538
